epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,12041,0.45873,0.38518,1.05304,0.94035,0.95244,0.97538,0.93021,0.32139,0.27072,0.90216,0.00852812,0.00852812,0.00852812
65,12228.7,0.45378,0.38413,1.04841,0.9316,0.95268,0.97669,0.92884,0.32568,0.27245,0.9115,0.00848358,0.00848358,0.00848358
66,12416.1,0.46193,0.39015,1.05829,0.9505,0.92901,0.9778,0.93151,0.32706,0.26876,0.91415,0.00843851,0.00843851,0.00843851
67,12603.7,0.45911,0.38292,1.05375,0.95652,0.92551,0.97751,0.93133,0.32172,0.271,0.90921,0.0083929,0.0083929,0.0083929
68,12791.1,0.45716,0.37752,1.05267,0.94912,0.9275,0.97433,0.92994,0.31898,0.27301,0.90569,0.00834676,0.00834676,0.00834676
69,12978.5,0.45219,0.37346,1.04967,0.94387,0.93447,0.97337,0.92879,0.32385,0.27406,0.91239,0.0083001,0.0083001,0.0083001
70,13166,0.45135,0.37278,1.04787,0.95478,0.93108,0.97506,0.9305,0.32618,0.26994,0.91646,0.00825293,0.00825293,0.00825293
71,13353.6,0.45123,0.36871,1.04394,0.94753,0.94746,0.97664,0.93175,0.32485,0.26639,0.91455,0.00820525,0.00820525,0.00820525
72,13541.1,0.45117,0.37492,1.04448,0.93245,0.95331,0.97496,0.92765,0.32703,0.26493,0.91499,0.00815707,0.00815707,0.00815707
73,13728.7,0.44581,0.36837,1.04561,0.94127,0.93418,0.97427,0.92902,0.32431,0.2709,0.91088,0.00810841,0.00810841,0.00810841
74,13916.1,0.4453,0.36378,1.04229,0.94332,0.93435,0.97284,0.92767,0.32586,0.27097,0.91158,0.00805925,0.00805925,0.00805925
75,14103.6,0.44242,0.36509,1.04358,0.93969,0.93613,0.97393,0.92909,0.32363,0.27263,0.91083,0.00800963,0.00800963,0.00800963
76,14291,0.44276,0.36632,1.0415,0.93421,0.94494,0.97504,0.93175,0.32242,0.27075,0.9111,0.00795954,0.00795954,0.00795954
77,14478.4,0.44162,0.35596,1.04166,0.94087,0.93635,0.97359,0.93035,0.32282,0.27415,0.91173,0.00790898,0.00790898,0.00790898
78,14665.8,0.43938,0.36091,1.03846,0.93768,0.93433,0.97273,0.92921,0.32473,0.27509,0.9136,0.00785798,0.00785798,0.00785798
79,14853.3,0.43678,0.35494,1.03884,0.93991,0.94036,0.97287,0.92948,0.32464,0.27209,0.913,0.00780653,0.00780653,0.00780653
80,15040.6,0.43646,0.36072,1.03732,0.92978,0.95171,0.9731,0.93069,0.32386,0.27261,0.91467,0.00775465,0.00775465,0.00775465
81,15228.1,0.43912,0.35587,1.03645,0.96029,0.91132,0.9725,0.92992,0.32374,0.27396,0.91484,0.00770234,0.00770234,0.00770234
82,15415.5,0.43587,0.34975,1.03669,0.95767,0.91295,0.97081,0.92821,0.32098,0.27463,0.91207,0.00764961,0.00764961,0.00764961
83,15602.9,0.43374,0.34789,1.02919,0.95092,0.91921,0.9708,0.92685,0.32042,0.27381,0.91116,0.00759648,0.00759648,0.00759648
84,15790.3,0.43503,0.34637,1.03285,0.95182,0.91294,0.97054,0.92674,0.31953,0.27196,0.91143,0.00754293,0.00754293,0.00754293
85,15977.9,0.42992,0.33863,1.02968,0.9627,0.9083,0.97119,0.92809,0.31868,0.27277,0.90987,0.007489,0.007489,0.007489
86,16165.4,0.42839,0.34179,1.02995,0.95708,0.9099,0.97112,0.92624,0.31992,0.2752,0.90979,0.00743468,0.00743468,0.00743468
87,16353,0.4252,0.33788,1.02512,0.95924,0.91522,0.97157,0.92819,0.31916,0.27294,0.90835,0.00737998,0.00737998,0.00737998
88,16540.4,0.42244,0.33624,1.02673,0.9556,0.91687,0.97262,0.92882,0.31837,0.27094,0.90719,0.00732492,0.00732492,0.00732492
89,16727.9,0.42214,0.3338,1.02697,0.95298,0.92011,0.97253,0.92822,0.31862,0.27072,0.90662,0.0072695,0.0072695,0.0072695
90,16915.3,0.4252,0.33535,1.02823,0.94791,0.91785,0.9731,0.9294,0.31653,0.2713,0.90472,0.00721372,0.00721372,0.00721372
91,17102.9,0.4247,0.3389,1.0269,0.94917,0.92159,0.97456,0.931,0.31464,0.26876,0.90297,0.00715761,0.00715761,0.00715761
92,17290.4,0.42276,0.33427,1.02704,0.95082,0.92145,0.9752,0.93148,0.31385,0.26891,0.90202,0.00710116,0.00710116,0.00710116
93,17478,0.42034,0.33284,1.02571,0.9458,0.92325,0.97554,0.93262,0.31372,0.2674,0.90169,0.00704439,0.00704439,0.00704439
94,17665.6,0.41942,0.33305,1.02598,0.93138,0.93885,0.97497,0.93258,0.31343,0.26697,0.90186,0.0069873,0.0069873,0.0069873
95,17853.2,0.4107,0.3219,1.01949,0.93947,0.92882,0.97472,0.93209,0.31347,0.26864,0.90198,0.00692991,0.00692991,0.00692991
96,18040.6,0.4148,0.32724,1.02223,0.94126,0.92789,0.97529,0.93248,0.31314,0.26749,0.90157,0.00687222,0.00687222,0.00687222
97,18228.3,0.40775,0.31916,1.01572,0.95054,0.92103,0.97529,0.93255,0.31325,0.26725,0.9021,0.00681424,0.00681424,0.00681424
98,18415.6,0.40955,0.32126,1.01771,0.94446,0.9256,0.97491,0.93287,0.3127,0.26904,0.902,0.00675598,0.00675598,0.00675598
99,18603.2,0.4075,0.31872,1.01532,0.94349,0.92796,0.97455,0.93289,0.31271,0.26988,0.90221,0.00669746,0.00669746,0.00669746
100,18790.6,0.40459,0.31619,1.01451,0.94152,0.93321,0.97481,0.93346,0.31181,0.26826,0.90165,0.00663867,0.00663867,0.00663867
101,18978.3,0.40681,0.3142,1.01182,0.9487,0.93187,0.97487,0.9328,0.31141,0.26452,0.90213,0.00657963,0.00657963,0.00657963
102,19165.7,0.41088,0.32394,1.01929,0.94798,0.93204,0.97459,0.93278,0.31113,0.26373,0.90237,0.00652036,0.00652036,0.00652036
103,19353.3,0.40659,0.31789,1.01454,0.94679,0.93264,0.97464,0.9324,0.31104,0.26505,0.90223,0.00646085,0.00646085,0.00646085
104,19540.7,0.40515,0.3073,1.01585,0.94587,0.9328,0.97447,0.93261,0.311,0.26516,0.9025,0.00640111,0.00640111,0.00640111
105,19728.3,0.40505,0.31489,1.01509,0.95163,0.93026,0.9745,0.93249,0.31103,0.26492,0.90259,0.00634117,0.00634117,0.00634117
106,19915.6,0.39871,0.30592,1.00955,0.95058,0.9259,0.97431,0.93236,0.31089,0.26511,0.90213,0.00628101,0.00628101,0.00628101
107,20103.2,0.39978,0.30505,1.0077,0.95196,0.9263,0.97444,0.93111,0.31081,0.26444,0.90189,0.00622067,0.00622067,0.00622067
108,20290.6,0.39316,0.30279,1.00263,0.95119,0.92577,0.97468,0.9319,0.3108,0.26423,0.90161,0.00616014,0.00616014,0.00616014
109,20478.2,0.39929,0.30557,1.01046,0.95086,0.9255,0.97455,0.93282,0.31047,0.26615,0.90126,0.00609944,0.00609944,0.00609944
110,20665.6,0.39152,0.29952,1.00303,0.94851,0.92566,0.97459,0.93176,0.31065,0.26726,0.90127,0.00603856,0.00603856,0.00603856
111,20853.2,0.39471,0.3028,1.00682,0.94819,0.92468,0.97441,0.93265,0.31018,0.26696,0.90043,0.00597754,0.00597754,0.00597754
112,21040.6,0.38981,0.29801,1.00321,0.92942,0.94062,0.9738,0.93225,0.30986,0.26902,0.90008,0.00591636,0.00591636,0.00591636
113,21228.2,0.39496,0.2998,1.00713,0.92912,0.93983,0.9742,0.93366,0.30904,0.27008,0.89956,0.00585505,0.00585505,0.00585505
114,21415.7,0.39113,0.29718,1.00588,0.92985,0.93994,0.97407,0.93276,0.30911,0.26923,0.89992,0.00579362,0.00579362,0.00579362
115,21603.2,0.38961,0.29548,1.00296,0.94305,0.92694,0.97368,0.93298,0.30903,0.26938,0.89984,0.00573206,0.00573206,0.00573206
116,21790.6,0.38926,0.29417,1.00229,0.94408,0.92672,0.97434,0.93337,0.3092,0.26991,0.90017,0.0056704,0.0056704,0.0056704
117,21978.1,0.38634,0.29439,1.00182,0.94573,0.92742,0.97485,0.93518,0.30883,0.26911,0.90002,0.00560864,0.00560864,0.00560864
118,22165.6,0.38823,0.29507,1.00279,0.94868,0.92749,0.97454,0.93382,0.3085,0.26916,0.90021,0.00554679,0.00554679,0.00554679
119,22353,0.38494,0.28771,0.99876,0.94916,0.92756,0.97445,0.93385,0.30842,0.26941,0.90029,0.00548486,0.00548486,0.00548486
120,22540.5,0.38337,0.28713,0.99656,0.94905,0.92787,0.97426,0.93351,0.30824,0.26953,0.90047,0.00542287,0.00542287,0.00542287
121,22728,0.38094,0.28609,0.99845,0.94945,0.92754,0.97493,0.93394,0.30801,0.26978,0.9005,0.00536081,0.00536081,0.00536081
122,22915.5,0.37805,0.28629,0.99486,0.94954,0.9269,0.97481,0.93412,0.30793,0.26896,0.90033,0.00529871,0.00529871,0.00529871
123,23103.1,0.38014,0.28351,0.99839,0.94971,0.92613,0.97485,0.9352,0.30783,0.26937,0.90026,0.00523657,0.00523657,0.00523657
124,23290.6,0.37398,0.28266,0.99349,0.94957,0.92571,0.97506,0.93543,0.30757,0.26973,0.90016,0.00517439,0.00517439,0.00517439
125,23478.1,0.37907,0.28307,0.99768,0.95052,0.92459,0.97491,0.93546,0.30755,0.2704,0.90018,0.0051122,0.0051122,0.0051122
