epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,11197.1,0.45754,0.32808,0.98918,0.31347,0.37567,0.29875,0.2464,0.68426,4.79539,1.19887,0.001585,0.001585,0.001585
87,11328.9,0.45434,0.33103,0.98939,0.31926,0.37588,0.29936,0.24631,0.68553,4.80207,1.20215,0.001486,0.001486,0.001486
88,11460.2,0.44912,0.32472,0.98615,0.33586,0.38115,0.2991,0.24586,0.68843,4.80752,1.20615,0.001387,0.001387,0.001387
89,11591.1,0.45504,0.3263,0.98785,0.34399,0.38301,0.29907,0.24577,0.68895,4.81123,1.20777,0.001288,0.001288,0.001288
90,11721.9,0.44552,0.3201,0.98114,0.34771,0.38069,0.29907,0.24591,0.68812,4.81384,1.20705,0.001189,0.001189,0.001189
91,11853.1,0.34471,0.21502,0.90714,0.34552,0.37684,0.29965,0.24637,0.68631,4.81425,1.20477,0.00109,0.00109,0.00109
92,11983.4,0.33567,0.20718,0.90383,0.44878,0.34159,0.29854,0.24568,0.68629,4.81717,1.20492,0.000991,0.000991,0.000991
93,12113.8,0.33352,0.20614,0.90313,0.4534,0.34281,0.30265,0.2486,0.6866,4.82223,1.20516,0.000892,0.000892,0.000892
94,12244,0.32736,0.20287,0.89706,0.44984,0.34755,0.30371,0.24957,0.68757,4.82759,1.20592,0.000793,0.000793,0.000793
95,12374.8,0.31886,0.19772,0.89356,0.44992,0.34975,0.30445,0.25043,0.68879,4.83049,1.20739,0.000694,0.000694,0.000694
96,12505.4,0.31604,0.19454,0.89439,0.44273,0.34975,0.30429,0.25037,0.68842,4.83509,1.20584,0.000595,0.000595,0.000595
97,12635.6,0.31106,0.19058,0.88919,0.43432,0.34975,0.30429,0.24994,0.68979,4.84014,1.20785,0.000496,0.000496,0.000496
98,12766.2,0.30799,0.18761,0.88609,0.42917,0.34975,0.3044,0.24997,0.68952,4.84503,1.20736,0.000397,0.000397,0.000397
99,12896.5,0.30446,0.18569,0.8853,0.44945,0.35036,0.30479,0.24944,0.69039,4.85083,1.20826,0.000298,0.000298,0.000298
100,13026.9,0.29871,0.18081,0.88233,0.44719,0.35101,0.30542,0.25167,0.69032,4.85656,1.20885,0.000199,0.000199,0.000199
